Subject,BPM,RMSSD,SDNN,PNN50,SD1,SD2,LF_HF,Label
Arianna,0.9640586147714905,1.1736585701525228,1.09210596359858,1.4281894678192717,1.173869326011794,1.0836260649013154,0.656872817664895,Baseline
Arianna,0.9612209147736138,1.1683176615738662,1.0707211649260453,1.4281894678192717,1.1685272546418786,1.060373510206685,0.5248387638647372,Baseline
Arianna,1.1753326299067866,0.9457244227023697,0.9016059662145739,1.172687682291971,0.9453355725881925,0.8967863646612313,3.0027378684072987,Stress
Arianna,1.1617914528866982,1.1083981743197633,0.9295941019031086,1.3150510017471688,1.1080631599196291,0.9086606017843313,3.4156697898076365,Stress
Arianna,1.1633871874220039,1.059691636440722,0.9066120867369402,1.1835459015724519,1.0593849202056562,0.8889031949183699,2.6491207899495453,Stress
Arianna,1.146331778817483,1.1826681079761385,1.2288076468312434,1.3398632847990024,1.1823821536172097,1.2335804292933228,2.418124219886159,Stress
Arianna,1.1427508348626616,1.1709827631995862,1.218005108923682,1.205876956319102,1.1706167020697933,1.2228744840615569,2.41234209849757,Stress
Arianna,1.1301849180316834,1.1915532244792186,1.2503129238363235,1.2173614987602364,1.191280010396941,1.2563862783141555,1.8582738436758248,Stress
Arianna,1.1255774786172632,1.20370710217855,1.2273165335261904,1.2231861949265532,1.203416665683704,1.2298333057995903,2.0328664798268203,Stress
Arianna,1.0750569896552484,1.0330770661819144,1.2718242092608876,1.136204065509554,1.032975351670645,1.2946258175086154,5.388889528361244,Stress
Arianna,1.0734078557988123,1.0818298372925026,1.314038236475216,1.1419136336779436,1.0816168590528505,1.3363974703674928,5.125322927982519,Stress
Arianna,1.0684414820755965,1.1841414310757317,1.4169988590043996,1.721521311378112,1.1840072446262442,1.4396110375395852,4.722934131852918,Stress
Arianna,1.0682188529953174,1.2537187879298277,1.451275308967085,1.8649814206596216,1.2532578581258067,1.470847483383167,4.493569361893325,Stress
Arianna,1.0679691241480582,1.3193037860683638,1.4993767868485195,1.7302599982378994,1.3191721356532682,1.5174051372363306,4.668513794676952,Stress
Arianna,1.0740791552708564,1.3531915886059824,1.5915659479083986,2.141088063146144,1.3530714341479084,1.6149100596203418,3.498690370923889,Stress
Arianna,1.0594698221821186,1.4717874330945748,1.6969786211653939,2.7535557710052965,1.4716156086001073,1.7193551728162801,3.084319141731572,Stress
Chiara,1.050297692733234,0.7875355484288213,0.7498383173105578,0.6102319634301139,0.7874581780807473,0.7453910384550927,0.20899156862041632,Baseline
Chiara,1.0562518605619842,0.8009819940556189,0.7283222807459538,0.6834597990417276,0.8008806628393325,0.7195656342538456,0.37304353189885486,Baseline
Chiara,1.0476893164358672,0.8635704814208423,0.7910361286559032,0.7896334914767813,0.8632828605008234,0.7823772531320483,0.4874027784212729,Baseline
Chiara,1.044328399993524,0.8690914481071917,0.823232269194481,0.8143095380854306,0.8690701371381494,0.8178309621756615,0.4622012577795813,Baseline
Chiara,1.0486061310573447,0.8612852258445665,0.8280712875190821,0.7853420051100596,0.8612398176133235,0.8241731327675813,0.4347461043785256,Baseline
Chiara,1.0502666316607607,0.9039608158428366,0.8678729207414999,0.8589678180891278,0.9039238992369515,0.8636343901507257,0.5290859355487243,Baseline
Chiara,0.9619830420013488,1.229324352381487,1.3018112939494653,1.282570375209328,1.229549471120419,1.3100394479351987,1.89574379118351,Baseline
Chiara,0.9668019927439981,1.2554823410976477,1.31970634452921,1.3092905913595223,1.2556659067692006,1.3270613440627983,2.272153839455781,Baseline
Chiara,0.9724484684881112,1.27346110667103,1.334940474405386,1.3281519204067185,1.2736966077926903,1.341974222280267,2.379811075308948,Baseline
Chiara,0.9730577465895824,1.2828368695150643,1.332491090189084,1.3547149588148528,1.2827869145530855,1.3382739943612674,1.7522548634069528,Baseline
Chiara,0.9674481697724413,1.3189650083202065,1.349888086355633,1.3894512398101055,1.3188553929409146,1.3536517973376048,1.7340609996141578,Baseline
Chiara,0.9610748021900046,1.3289740142456683,1.329658147284461,1.3439632527925127,1.3290747137840997,1.330030924280738,2.0754341532627114,Baseline
Chiara,0.9768492999933117,0.9754944791923177,0.9679375737953141,1.0764208006087008,0.9756423115320587,0.9672077317278923,0.5114007319328616,Baseline
Chiara,0.9821701610050696,0.8993677072310905,0.9232979209392581,0.9918914920031677,0.8988291270766063,0.9261606461662466,0.4859426750353344,Baseline
Chiara,0.9805068461512931,0.8908235417868772,0.9045629584487175,0.9451499712661764,0.8909049930373518,0.9062401332763278,0.5392329153237847,Baseline
Chiara,0.9759354138284012,0.8845013033851389,0.8877092936473081,0.8978617660761208,0.8846332522699629,0.888211258080134,0.599348239218626,Baseline
Chiara,0.9891673143629606,0.8508255175873821,0.828429689562066,0.8304766031048906,0.8508997162389575,0.8259361394992745,0.6934888313618578,Baseline
